yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
18711,4.61,NaN,0.260,NaN,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137121984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18712,4.82,NaN,0.260,NaN,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116911615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18713,4.84,NaN,0.260,NaN,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115000405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18714,4.74,NaN,0.260,NaN,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204333210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18721,5.04,NaN,0.270,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0169351781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18722,5.13,NaN,0.280,NaN,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150112699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18723,4.95,NaN,0.290,NaN,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0165886669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18724,5.07,NaN,0.300,NaN,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233635493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18731,5.11,NaN,0.308,NaN,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200888051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18732,4.98,NaN,0.315,NaN,0.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183042008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18733,4.59,NaN,0.323,NaN,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193456236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18734,4.42,NaN,0.330,NaN,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0288804095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18741,4.73,NaN,0.330,NaN,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133373358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18742,4.46,NaN,0.330,NaN,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117870740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18743,4.54,NaN,0.330,NaN,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116620917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18744,4.54,NaN,0.330,NaN,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117577280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18751,4.59,NaN,0.323,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109563587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18752,4.38,NaN,0.315,NaN,0.410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096399323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18753,4.37,NaN,0.308,NaN,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100736822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18754,4.37,NaN,0.300,NaN,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131392991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18761,4.51,NaN,0.300,NaN,0.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115590685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18762,4.15,NaN,0.300,NaN,0.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101916180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18763,3.69,NaN,0.300,NaN,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078813594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18764,3.58,NaN,0.300,NaN,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114342845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18771,3.17,NaN,0.273,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0095957286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18772,2.73,NaN,0.245,NaN,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0080876113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18773,3.24,NaN,0.218,NaN,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108233920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18774,3.25,NaN,0.190,NaN,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129552607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18781,3.24,NaN,0.188,NaN,0.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109122503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18782,3.41,NaN,0.185,NaN,0.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0090144541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18783,3.52,NaN,0.183,NaN,0.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0077857246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18784,3.45,NaN,0.180,NaN,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104343526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18791,3.65,NaN,0.185,NaN,0.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0086466855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18792,3.96,NaN,0.190,NaN,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0093382524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18793,4.22,NaN,0.195,NaN,0.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101469976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18794,4.92,NaN,0.200,NaN,0.380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122795666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18801,5.30,NaN,0.215,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108461495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18802,4.79,NaN,0.230,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101474421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18803,5.18,NaN,0.245,NaN,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097650217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18804,5.84,NaN,0.260,NaN,0.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111180838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18811,6.24,NaN,0.275,NaN,0.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108387895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18812,6.58,NaN,0.290,NaN,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0083153665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18813,6.25,NaN,0.305,NaN,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097058851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18814,6.01,NaN,0.320,NaN,0.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127645884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18821,5.78,NaN,0.320,NaN,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111549464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18822,5.68,NaN,0.320,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0099931121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18823,6.24,NaN,0.320,NaN,0.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114557512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18824,5.84,NaN,0.320,NaN,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129481892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18831,5.75,NaN,0.323,NaN,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116326264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18832,5.82,NaN,0.325,NaN,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111916805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18833,5.53,NaN,0.328,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109929944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18834,5.34,NaN,0.330,NaN,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115812973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18841,5.30,NaN,0.325,NaN,0.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0094267428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18842,4.46,NaN,0.320,NaN,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103606898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18843,4.59,NaN,0.315,NaN,0.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114048692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18844,4.34,NaN,0.310,NaN,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104784638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18851,4.38,NaN,0.293,NaN,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0089853433,NaN,NaN,NaN,0.0030835794,NaN,NaN,NaN,NaN
18852,4.30,NaN,0.275,NaN,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0071748997,NaN,NaN,NaN,0.0047006224,NaN,NaN,NaN,NaN
18853,4.65,NaN,0.258,NaN,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0069761438,NaN,NaN,NaN,0.0071185870,NaN,NaN,NaN,NaN
18854,5.20,NaN,0.240,NaN,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0084555428,NaN,NaN,NaN,0.0088361144,NaN,NaN,NaN,NaN
18861,5.19,NaN,0.235,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078226497,NaN,NaN,NaN,0.0051089107,NaN,NaN,NaN,NaN
18862,5.25,NaN,0.230,NaN,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078815408,NaN,NaN,NaN,0.0044145348,NaN,NaN,NaN,NaN
18863,5.51,NaN,0.225,NaN,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0099264385,NaN,NaN,NaN,0.0028368654,NaN,NaN,NaN,NaN
18864,5.64,NaN,0.220,NaN,0.330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121399433,NaN,NaN,NaN,0.0040982913,NaN,NaN,NaN,NaN
18871,5.67,NaN,0.228,NaN,0.338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104563662,NaN,NaN,NaN,0.0044901082,NaN,NaN,NaN,NaN
18872,5.73,NaN,0.235,NaN,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0105005501,NaN,NaN,NaN,0.0021968555,NaN,NaN,NaN,NaN
18873,5.38,NaN,0.243,NaN,0.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0132641252,NaN,NaN,NaN,0.0060354533,NaN,NaN,NaN,NaN
18874,5.27,NaN,0.250,NaN,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122721798,NaN,NaN,NaN,0.0055760428,NaN,NaN,NaN,NaN
18881,5.08,NaN,0.245,NaN,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104637150,NaN,NaN,NaN,0.0023553365,NaN,NaN,NaN,NaN
18882,5.01,NaN,0.240,NaN,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0095810490,NaN,NaN,NaN,0.0033101771,NaN,NaN,NaN,NaN
18883,5.38,NaN,0.235,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0090292807,NaN,NaN,NaN,0.0040871300,NaN,NaN,NaN,NaN
18884,5.14,NaN,0.230,NaN,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0098165890,NaN,NaN,NaN,0.0030979584,NaN,NaN,NaN,NaN
18891,5.19,NaN,0.228,NaN,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087940346,NaN,NaN,NaN,0.0016990404,NaN,NaN,NaN,NaN
18892,5.41,NaN,0.225,NaN,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0077784888,NaN,NaN,NaN,0.0010297633,NaN,NaN,NaN,NaN
18893,5.50,NaN,0.223,NaN,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0098532560,NaN,NaN,NaN,0.0017688667,NaN,NaN,NaN,NaN
18894,5.32,NaN,0.220,NaN,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122428359,NaN,NaN,NaN,0.0023763671,NaN,NaN,NaN,NaN
18901,5.28,NaN,0.220,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106181817,NaN,NaN,NaN,0.0008227960,NaN,NaN,NaN,NaN
18902,5.58,NaN,0.220,NaN,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100960863,NaN,NaN,NaN,0.0020360299,NaN,NaN,NaN,NaN
18903,5.32,NaN,0.220,NaN,0.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109931316,NaN,NaN,NaN,0.0034168858,NaN,NaN,NaN,NaN
18904,4.60,NaN,0.220,NaN,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136312453,NaN,NaN,NaN,0.0163453471,NaN,NaN,NaN,NaN
18911,4.81,NaN,0.220,NaN,0.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0107651759,NaN,NaN,NaN,0.0035077986,NaN,NaN,NaN,NaN
18912,4.85,NaN,0.220,NaN,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106770129,NaN,NaN,NaN,0.0043233821,NaN,NaN,NaN,NaN
18913,5.33,NaN,0.220,NaN,0.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115372212,NaN,NaN,NaN,0.0046664351,NaN,NaN,NaN,NaN
18914,5.41,NaN,0.220,NaN,0.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103166354,NaN,NaN,NaN,0.0036259159,NaN,NaN,NaN,NaN
18921,5.58,NaN,0.225,NaN,0.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0076386441,NaN,NaN,NaN,0.0038910173,NaN,NaN,NaN,NaN
18922,5.54,NaN,0.230,NaN,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0059820588,NaN,NaN,NaN,0.0021172040,NaN,NaN,NaN,NaN
